,surprised,excited,serene,happy,satisfied,calm,tired,bored,depressed,sad,frustrated,afraid,angry,stressed,astonished,sleepy,alarmed,disgusted
surprised,0.0,0.10626780474093538,0.10010125707149396,0.06712022062730225,0.15439875053117164,0.1835430376125212,0.13218690846885936,0.1744108094253889,0.248580949147997,0.14973809686680153,0.09692240421124373,0.14202023883421327,0.15836988616289574,0.18850879194591846,0.09347984833437704,0.2308687560582156,0.2620472875637239,0.07820713247289247
excited,0.10626780474093538,0.0,0.11780545167040285,0.126806770894538,0.14937683217267406,0.12376677159813843,0.1993505734351068,0.1769780708281814,0.2156237469567088,0.23916287849675977,0.08403889774381385,0.22157619978921686,0.17123461887426386,0.2241332742352338,0.11786902334450491,0.1910985625681072,0.21296293702281244,0.14407440270128966
serene,0.10010125707149396,0.11780545167040285,0.0,0.045058931981571015,0.054576087232255495,0.10762689094620381,0.09099892054214022,0.07493073185488654,0.1508883430368931,0.14566051192817353,0.0359581016227135,0.11988845398391168,0.06109131509785637,0.10698240395172055,0.007814836415864503,0.13624055400293228,0.16965818014336126,0.053567641365760435
happy,0.06712022062730234,0.126806770894538,0.045058931981571015,0.0,0.09709798516911647,0.15021556768470343,0.0742272675202137,0.11217861558502748,0.19442383232973573,0.11432639122638753,0.06566846605285312,0.0947859911693948,0.09428958743474723,0.12161105951159697,0.03725211455263387,0.18095075065220895,0.21459293308495483,0.0172721954654027
satisfied,0.15439875053117164,0.14937683217267406,0.054576087232255495,0.09709798516911647,0.0,0.08250399436343592,0.11379944265059456,0.027746743678351237,0.09736574675387591,0.17567864120574087,0.06953938386342798,0.14577561159894525,0.029963800490334452,0.0889733447363842,0.06181286739623007,0.08591707718539407,0.12042842268389271,0.10039847123751747
calm,0.1835430376125212,0.12376677159813843,0.10762689094620381,0.15021556768470343,0.08250399436343592,0.0,0.1912174933501069,0.10269800413062137,0.09668068905668478,0.2507204222267495,0.08864254016437183,0.22256740964888952,0.1121974535593998,0.17005760696342395,0.11475636533437424,0.07053886389885898,0.0891980195223899,0.16105539286279702
tired,0.13218690846885936,0.1993505734351068,0.09099892054214022,0.0742272675202137,0.11379944265059456,0.1912174933501069,0.0,0.11043953644554126,0.19977876186710697,0.062371992862343864,0.12567987812640352,0.03198188927953024,0.09107391753822847,0.07511532676292404,0.0869328656883321,0.19579174523633217,0.2301992510171886,0.057617452838567396
bored,0.1744108094253889,0.1769780708281814,0.07493073185488654,0.11217861558502748,0.027746743678351237,0.10269800413062137,0.11043953644554126,0.0,0.08975207069910425,0.1726506721174032,0.09593658463045852,0.14179551582295083,0.020113317627135318,0.06805301711625937,0.08102139771001342,0.08604480566888716,0.12008227983675644,0.11147200820885196
depressed,0.248580949147997,0.2156237469567088,0.1508883430368931,0.19442383232973573,0.09736574675387591,0.09668068905668478,0.19977876186710697,0.08975207069910425,0.0,0.2616324048157853,0.15464699120181613,0.23066302463502117,0.10974994816041701,0.14370235985924637,0.1584615072640969,0.02639178794265206,0.03889369364067457,0.19733759090969044
sad,0.14973809686680153,0.23916287849675977,0.14566051192817353,0.11432639122638753,0.17567864120574087,0.2507204222267495,0.062371992862343864,0.1726506721174032,0.2616324048157853,0.0,0.17688832140193606,0.030981990845440156,0.15342236283767086,0.12826934510677102,0.13990622466126,0.25815788050605715,0.2925417389565145,0.09784723099866281
frustrated,0.09692240421124373,0.08403889774381385,0.0359581016227135,0.06566846605285312,0.06953938386342798,0.08864254016437183,0.12567987812640352,0.09593658463045852,0.15464699120181613,0.17688832140193606,0.0,0.15310743025263096,0.08778436234996591,0.14027307596687164,0.03877382680488311,0.13501758349479268,0.16533380200257478,0.07995274749849192
afraid,0.14202023883421327,0.22157619978921686,0.11988845398391168,0.0947859911693948,0.14577561159894525,0.22256740964888952,0.03198188927953024,0.14179551582295083,0.23066302463502117,0.030981990845440156,0.15310743025263096,0.0,0.12271124389373177,0.09871803526730907,0.11491191562135131,0.22746148821848788,0.26177734592915725,0.07753936612610617
angry,0.15836988616289577,0.1712346188742639,0.06109131509785631,0.09428958743474727,0.029963800490334452,0.1121974535593998,0.09107391753822847,0.020113317627135318,0.10974994816041701,0.15342236283767086,0.08778436234996588,0.1227112438937318,0.0,0.059238522622430165,0.06608809670484754,0.1047516419924343,0.13912540748549057,0.09229269147161885
stressed,0.18850879194591844,0.22413327423523377,0.10698240395172055,0.121611059511597,0.0889733447363842,0.17005760696342395,0.07511532676292408,0.06805301711625937,0.14370235985924637,0.128269345106771,0.14027307596687164,0.09871803526730911,0.059238522622430165,0.0,0.10863780073331966,0.14813300489681747,0.17972032517815334,0.11122217793496765
astonished,0.09347984833437704,0.11786902334450491,0.007814836415864503,0.03725211455263387,0.06181286739623007,0.11475636533437424,0.0869328656883321,0.08102139771001342,0.1584615072640969,0.13990622466126,0.03877382680488311,0.11491191562135131,0.06608809670484758,0.10863780073331962,0.0,0.14401668121379835,0.17746632065675205,0.04629907928805743
sleepy,0.23086875605821564,0.19109856256810717,0.13624055400293228,0.18095075065220895,0.08591707718539407,0.07053886389885898,0.19579174523633217,0.08604480566888716,0.02639178794265206,0.25815788050605715,0.13501758349479268,0.22746148821848788,0.1047516419924343,0.14813300489681747,0.14401668121379835,0.0,0.03464164383090466,0.18592856216447234
alarmed,0.2620472875637239,0.21296293702281244,0.16965818014336126,0.21459293308495483,0.12042842268389271,0.0891980195223899,0.2301992510171886,0.12008227983675644,0.03889369364067457,0.2925417389565145,0.16533380200257478,0.26177734592915725,0.13912540748549057,0.17972032517815334,0.17746632065675205,0.03464164383090466,0.0,0.220136647541811
disgusted,0.07820713247289247,0.14407440270128966,0.053567641365760435,0.0172721954654027,0.10039847123751747,0.16105539286279702,0.057617452838567396,0.11147200820885196,0.19733759090969044,0.09784723099866281,0.07995274749849192,0.07753936612610617,0.09229269147161889,0.11122217793496762,0.04629907928805743,0.18592856216447234,0.220136647541811,0.0
