Response,Emotions,Zone Type,Participant External Session ID,Reaction Time,Task Name,Participant Private ID
BLUE,BORED,response_markdown,,99429.79000000923,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
ORANGE,SAD,response_markdown,,29519.25499999197,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
BLUE,DEPRESSED,response_markdown,,14017.539999986184,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
RED,SURPRISED,response_markdown,,15063.67999999202,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
YELLOW,EXCITED,response_markdown,,16261.65500000934,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
BLUE,CALM,response_markdown,,18030.849999995557,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
PURPLE,SLEEPY,response_markdown,,10202.959999995071,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
ORANGE,ASTONISHED,response_markdown,,38590.21000000939,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
BLUE,TIRED,response_markdown,,27724.975000004637,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
GREEN,SATISFIED,response_markdown,,6543.850000001839,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
RED,AFRAID,response_markdown,,6265.104999998584,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
YELLOW,DISGUSTED,response_markdown,,10238.51999999897,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
PURPLE,FRUSTRATED,response_markdown,,22571.50499999989,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
RED,STRESSED,response_markdown,,6476.284999997006,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
RED,ALARMED,response_markdown,,4496.209999997518,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
YELLOW,SERENE,response_markdown,,12705.669999995736,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
RED,ANGRY,response_markdown,,5396.089999994729,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
YELLOW,HAPPY,response_markdown,,9100.984999997308,3_ Emotion & Color Association Phase_ITALIAN,3344389.0
GREEN,CALM,response_markdown,,38782.43500000099,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
YELLOW,EXCITED,response_markdown,,14835.109999985434,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
BLUE,SERENE,response_markdown,,6202.470000018366,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
RED,ANGRY,response_markdown,,4731.289999966975,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
PURPLE,BORED,response_markdown,,13609.50000002049,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
ORANGE,AFRAID,response_markdown,,22168.455000035465,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
YELLOW,HAPPY,response_markdown,,13071.265000035057,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
PURPLE,SAD,response_markdown,,14699.530000041705,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
ORANGE,ASTONISHED,response_markdown,,6985.1699999999255,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
RED,STRESSED,response_markdown,,5938.614999991842,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
BLUE,SATISFIED,response_markdown,,29062.169999990147,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
PURPLE,TIRED,response_markdown,,9070.624999993017,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
PURPLE,DISGUSTED,response_markdown,,6711.450000002515,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
RED,ALARMED,response_markdown,,5787.364999996498,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
PURPLE,DEPRESSED,response_markdown,,4697.790000005625,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
ORANGE,FRUSTRATED,response_markdown,,15862.560000037774,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
YELLOW,SURPRISED,response_markdown,,6042.324999987613,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
PURPLE,SLEEPY,response_markdown,,10451.360000006389,3_ Emotion & Color Association Phase_ITALIAN,2555020.0
YELLOW,SLEEPY,response_markdown,,36761.11500000116,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
ORANGE,STRESSED,response_markdown,,10125.599999999396,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
YELLOW,SAD,response_markdown,,11404.429999995044,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
GREEN,SATISFIED,response_markdown,,5959.100000007311,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
PURPLE,DISGUSTED,response_markdown,,9139.69999999972,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
YELLOW,BORED,response_markdown,,12665.82500000368,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
ORANGE,FRUSTRATED,response_markdown,,7187.88999998651,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
RED,ANGRY,response_markdown,,5647.379999994882,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
RED,ALARMED,response_markdown,,5371.075000002747,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
BLUE,EXCITED,response_markdown,,9808.594999994966,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
RED,SURPRISED,response_markdown,,5389.389999996638,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
ORANGE,ASTONISHED,response_markdown,,5676.024999993388,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
RED,AFRAID,response_markdown,,7388.0950000020675,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
BLUE,SERENE,response_markdown,,9980.59999999532,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
BLUE,HAPPY,response_markdown,,10405.12499999022,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
PURPLE,DEPRESSED,response_markdown,,6691.814999998314,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
RED,TIRED,response_markdown,,12718.479999995909,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
GREEN,CALM,response_markdown,,13664.514999996754,3_ Emotion & Color Association Phase_ITALIAN,2392819.0
ORANGE,EXCITED,response_markdown,,26462.780000001658,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
YELLOW,HAPPY,response_markdown,,19765.59999998426,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
PURPLE,SLEEPY,response_markdown,,24128.70000000112,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
GREEN,ANGRY,response_markdown,,12246.4349999791,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
BLUE,DEPRESSED,response_markdown,,20382.485000009183,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
PURPLE,TIRED,response_markdown,,15008.514999994077,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
YELLOW,SERENE,response_markdown,,16563.079999992624,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
PURPLE,BORED,response_markdown,,14581.815000041388,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
PURPLE,AFRAID,response_markdown,,49413.98500005016,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
BLUE,FRUSTRATED,response_markdown,,23156.039999972563,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
ORANGE,SATISFIED,response_markdown,,12256.10499997856,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
PURPLE,SAD,response_markdown,,5012.7900000079535,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
RED,ASTONISHED,response_markdown,,5549.164999974892,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
BLUE,CALM,response_markdown,,15455.14999999432,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
RED,ALARMED,response_markdown,,14786.080000048967,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
PURPLE,STRESSED,response_markdown,,7757.044999976642,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
YELLOW,SURPRISED,response_markdown,,8439.009999972768,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
ORANGE,DISGUSTED,response_markdown,,10137.56000000285,3_ Emotion & Color Association Phase_ITALIAN,3427920.0
RED,ALARMED,response_markdown,,14174.025000000256,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
BLUE,DEPRESSED,response_markdown,,13550.425000008545,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
PURPLE,BORED,response_markdown,,5670.924999998533,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
RED,AFRAID,response_markdown,,4582.5000000040745,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
BLUE,STRESSED,response_markdown,,7378.310000000056,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
YELLOW,EXCITED,response_markdown,,6718.099999998231,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
GREEN,CALM,response_markdown,,4729.930000001332,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
ORANGE,DISGUSTED,response_markdown,,30953.874999991967,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
GREEN,SATISFIED,response_markdown,,5749.809999993886,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
RED,HAPPY,response_markdown,,1033.400000000256,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
YELLOW,ASTONISHED,response_markdown,,9028.489999996964,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
BLUE,SLEEPY,response_markdown,,13329.89500000258,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
PURPLE,SAD,response_markdown,,1890.740000002552,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
BLUE,FRUSTRATED,response_markdown,,11152.484999998704,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
RED,SURPRISED,response_markdown,,629.8649999953341,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
GREEN,ANGRY,response_markdown,,547.099999996135,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
GREEN,TIRED,response_markdown,,10400.779999996304,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
BLUE,SERENE,response_markdown,,790.0450000015553,3_ Emotion & Color Association Phase_ITALIAN,3393513.0
RED,ALARMED,response_markdown,,30915.84499995224,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
GREEN,HAPPY,response_markdown,,17819.625000003725,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
PURPLE,FRUSTRATED,response_markdown,,5765.724999946542,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
BLUE,BORED,response_markdown,,24017.705000005662,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
RED,EXCITED,response_markdown,,12889.569999999369,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
BLUE,SAD,response_markdown,,102212.84500008916,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
GREEN,ANGRY,response_markdown,,8870.85000006482,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
ORANGE,STRESSED,response_markdown,,17184.379999991506,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
RED,SATISFIED,response_markdown,,6276.815000106581,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
YELLOW,ASTONISHED,response_markdown,,2945.6800000043586,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
BLUE,SLEEPY,response_markdown,,2970.6249999580905,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
PURPLE,DISGUSTED,response_markdown,,8733.840000000782,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
YELLOW,SERENE,response_markdown,,3604.145000106655,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
BLUE,CALM,response_markdown,,2727.3150000255555,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
PURPLE,AFRAID,response_markdown,,27380.984999937937,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
GREEN,TIRED,response_markdown,,14510.445000021718,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
RED,SURPRISED,response_markdown,,6274.404999916442,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
YELLOW,DEPRESSED,response_markdown,,9431.734999991022,3_ Emotion & Color Association Phase_ITALIAN,3246042.0
PURPLE,AFRAID,response_markdown,,86473.43999997247,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
GREEN,CALM,response_markdown,,8005.515000084415,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
RED,STRESSED,response_markdown,,6784.684999962337,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
ORANGE,BORED,response_markdown,,4238.634999957867,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
RED,DEPRESSED,response_markdown,,8642.42499996908,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
PURPLE,TIRED,response_markdown,,8610.985000035726,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
BLUE,SAD,response_markdown,,7447.080000070855,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
YELLOW,HAPPY,response_markdown,,5586.705000023358,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
RED,FRUSTRATED,response_markdown,,7490.850000060163,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
PURPLE,SLEEPY,response_markdown,,17740.36499997601,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
PURPLE,DISGUSTED,response_markdown,,9753.579999902286,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
YELLOW,SATISFIED,response_markdown,,7520.49500006251,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
GREEN,SERENE,response_markdown,,5802.120000007562,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
RED,ALARMED,response_markdown,,5314.210000098683,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
ORANGE,EXCITED,response_markdown,,6927.219999954104,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
BLUE,SURPRISED,response_markdown,,11404.03500001412,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
RED,ANGRY,response_markdown,,4172.750000027008,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
BLUE,ASTONISHED,response_markdown,,6586.079999920912,3_ Emotion & Color Association Phase_ITALIAN,3236466.0
BLUE,SAD,response_markdown,,6424.750000005588,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
GREEN,SERENE,response_markdown,,3902.824999997392,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
RED,ANGRY,response_markdown,,3758.285000003525,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
ORANGE,DEPRESSED,response_markdown,,4327.460000000428,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
BLUE,TIRED,response_markdown,,4452.684999996563,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
GREEN,HAPPY,response_markdown,,6294.97000000265,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
BLUE,BORED,response_markdown,,5529.125000000931,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
BLUE,SLEEPY,response_markdown,,6738.024999998743,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
GREEN,CALM,response_markdown,,3749.419999992824,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
YELLOW,ALARMED,response_markdown,,4407.040000005509,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
ORANGE,FRUSTRATED,response_markdown,,3934.359999999288,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
ORANGE,AFRAID,response_markdown,,4872.004999997444,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
PURPLE,ASTONISHED,response_markdown,,4529.47999999742,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
RED,STRESSED,response_markdown,,4163.075000004028,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
GREEN,EXCITED,response_markdown,,4646.61999999953,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
GREEN,SATISFIED,response_markdown,,3395.009999992908,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
ORANGE,SURPRISED,response_markdown,,14190.954999998212,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
YELLOW,DISGUSTED,response_markdown,,5747.560000003432,3_ Emotion & Color Association Phase_ITALIAN,3139448.0
GREEN,ASTONISHED,response_markdown,,32927.880000002915,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
ORANGE,SLEEPY,response_markdown,,6165.030000003753,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
RED,ALARMED,response_markdown,,6474.770000000717,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
BLUE,SERENE,response_markdown,,2986.14500000258,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
GREEN,SATISFIED,response_markdown,,4154.275000008056,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
PURPLE,TIRED,response_markdown,,4322.454999986803,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
YELLOW,EXCITED,response_markdown,,3945.524999988265,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
PURPLE,AFRAID,response_markdown,,4084.835000016028,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
RED,ANGRY,response_markdown,,3247.590000013588,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
BLUE,CALM,response_markdown,,2252.0650000078604,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
GREEN,SURPRISED,response_markdown,,7152.620000008028,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
PURPLE,DEPRESSED,response_markdown,,3461.485000007088,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
BLUE,HAPPY,response_markdown,,15471.075000008568,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
PURPLE,BORED,response_markdown,,10623.369999986608,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
ORANGE,FRUSTRATED,response_markdown,,5678.859999985434,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
RED,DISGUSTED,response_markdown,,5929.754999990109,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
ORANGE,SAD,response_markdown,,14481.925000000048,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
YELLOW,STRESSED,response_markdown,,5613.309999986086,3_ Emotion & Color Association Phase_ITALIAN,3128684.0
YELLOW,SURPRISED,response_markdown,,18712.89500000421,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
GREEN,CALM,response_markdown,,6881.5750000067055,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
PURPLE,SAD,response_markdown,,4888.820000007399,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
RED,EXCITED,response_markdown,,3691.144999989774,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
BLUE,SLEEPY,response_markdown,,5260.685000001104,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
PURPLE,AFRAID,response_markdown,,6951.700000005076,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
ORANGE,ANGRY,response_markdown,,8365.014999988489,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
BLUE,TIRED,response_markdown,,3305.145000005723,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
GREEN,SERENE,response_markdown,,6653.164999996079,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
PURPLE,ALARMED,response_markdown,,11829.069999992498,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
YELLOW,DISGUSTED,response_markdown,,5124.989999996615,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
PURPLE,STRESSED,response_markdown,,8941.070000000764,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
RED,BORED,response_markdown,,10903.395000001185,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
BLUE,FRUSTRATED,response_markdown,,5247.489999994286,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
ORANGE,SATISFIED,response_markdown,,4242.485000009765,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
RED,HAPPY,response_markdown,,4677.139999999781,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
BLUE,ASTONISHED,response_markdown,,5028.064999991329,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
PURPLE,DEPRESSED,response_markdown,,5500.339999998687,3_ Emotion & Color Association Phase_ITALIAN,3090469.0
YELLOW,SAD,response_markdown,,15699.920000042766,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
RED,SURPRISED,response_markdown,,6740.564999985509,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
BLUE,EXCITED,response_markdown,,724.8599999584258,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
GREEN,FRUSTRATED,response_markdown,,4893.405000097118,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
RED,CALM,response_markdown,,7028.324999962933,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
PURPLE,DEPRESSED,response_markdown,,3412.8649999620397,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
YELLOW,AFRAID,response_markdown,,3486.229999922216,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
GREEN,SLEEPY,response_markdown,,4257.209999952465,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
RED,SERENE,response_markdown,,3156.8350000306964,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
BLUE,DISGUSTED,response_markdown,,3052.1500000031665,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
YELLOW,ALARMED,response_markdown,,2408.004999975674,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
GREEN,TIRED,response_markdown,,3072.0750000327826,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
ORANGE,ANGRY,response_markdown,,3147.480000043288,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
YELLOW,BORED,response_markdown,,3206.6000000340864,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
RED,ASTONISHED,response_markdown,,2816.744999960065,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
RED,SATISFIED,response_markdown,,3101.070000091568,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
RED,HAPPY,response_markdown,,3550.279999966733,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
ORANGE,STRESSED,response_markdown,,3056.2449999852106,3_ Emotion & Color Association Phase_ITALIAN,2969276.0
RED,ALARMED,response_markdown,,17494.485000032,3_ Emotion & Color Association Phase_ITALIAN,2938258.0
